group lg12
tig00000023_80395	0.000
tig00000023_42431	1.172
tig00000023_42412	1.172
tig00000023_288347	1.711
tig00000452_122121	4.412
tig00000452_125896	4.412
tig00000452_125984	4.412
tig00000452_99852	4.412
tig00000452_116298	4.412
tig00000452_116337	4.412
tig00000452_126293	4.412
tig00001849_41574	5.806
tig00000452_252694	6.437
tig00000452_175183	6.437
tig00000452_189511	6.437
tig00000452_235159	6.437
tig00001849_41573	9.749
tig00001849_197430	16.335
tig00001849_188992	16.335
tig00001849_345503	17.226
tig00001851_52913	24.112
tig00001851_62711	24.112
tig00001851_56888	25.746
tig00001851_56875	25.746
tig00001851_56897	25.746
tig00001851_342963	28.325
tig00001851_342922	28.325
tig00001851_397650	29.195
tig00001851_570236	33.326
tig00001851_837188	37.886
tig00001851_837212	37.886
tig00001851_938375	41.165
tig00001851_939206	41.165
tig00001851_908742	41.165
tig00001851_987286	42.562
tig00001851_1256453	50.014
tig00000307_287049	51.785
tig00000307_287050	51.785
tig00000307_16848	57.020
tig00000225_148697	66.051
tig00000225_180158	66.051
tig00000225_180144	66.051
tig00000225_180188	66.051
tig00000225_148694	68.685
tig00000225_219992	71.128
tig00000225_148698	71.128
tig00000225_63933	71.825
tig00000173_215747	75.642
tig00000173_188475	75.642
tig00000173_334952	75.642
tig00000173_73710	78.758
tig00000173_30818	79.323
tig00000219_13924	85.226
tig00000219_13966	85.226
tig00000322_56118	93.501
tig00000219_405244	93.501
tig00000322_44582	93.501
tig00000322_48752	93.501
tig00000322_89443	95.302
tig00000322_221583	95.302
tig00000322_221596	95.302
tig00002118_114689	98.349
tig00002118_34925	100.768
tig00002118_35497	101.561
tig00002118_35395	102.099
tig00002118_35438	102.099
tig00000490_301977	103.555
tig00000490_283209	104.796
tig00000490_211294	107.915
tig00000490_209560	107.915
tig00002293_106924	113.494
tig00002293_106925	113.494
tig00000490_96242	114.432
tig00002289_58079	114.782
tig00002293_89463	114.782
tig00002265_89366	114.782
tig00002265_124168	114.782
tig00002289_56345	114.782
tig00002289_99332	114.782
tig00000527_188625	114.782
tig00002267_84746	114.782
tig00002289_39323	114.782
tig00002293_45332	114.782
